,MaxDis,WaterYearMax,MinDis,WYearMin,MeanDis,StDev,Coeff,PercentAnnDis
Jan,1773.00,1969.00,92.10,1986.00,553.93,341.21,0.62,6.89
Feb,1880.00,1978.00,102.50,1986.00,739.28,351.61,0.48,9.20
Mar,3237.00,1969.00,231.60,1991.00,1076.22,546.84,0.51,13.40
Apr,3514.00,1954.00,253.90,1989.00,1629.11,726.24,0.45,20.28
May ,3350.00,1963.00,243.60,1991.00,1478.86,681.34,0.46,18.41
Jun,1687.00,1963.00,282.00,1989.00,717.72,286.11,0.40,8.93
Jul,957.00,1995.00,160.10,1985.00,364.34,186.63,0.51,4.53
Aug,1414.00,1990.00,108.30,1961.00,265.16,234.65,0.88,3.30
Sep,901.10,1988.00,87.70,1935.00,217.93,184.97,0.85,2.71
Oct,774.70,1995.00,98.50,1948.00,241.40,167.50,0.69,3.00
Nov,1155.00,1943.00,102.30,1986.00,318.32,188.95,0.59,3.96
Dec,1660.00,1969.00,87.70,1986.00,431.77,269.68,0.62,5.37
Annual,1370.98,1969.00,269.88,1986.00,669.75,229.16,0.34,100.00
